Datum;TempTagesmittel;TempTagesmax;TempTagesmin;Niederschlag;Luftfeuchtigkeit;Schneehoehe;Sonnenscheindauer;Windspitze
01.10.2016;11.9;15.6;8.4;0;88.3;0;2.2;7.4
02.10.2016;12.1;17.3;7.5;3.1;85.8;0;6.5;9.8
03.10.2016;11.5;16.3;5.5;0;90.8;0;3.8;7.7
04.10.2016;11.9;15.6;7.7;0;80.1;0;8;12.2
05.10.2016;10;13.4;6.4;0;68.9;0;7.7;11.7
06.10.2016;10;11.1;8.3;0.1;82.2;0;0;11.8
07.10.2016;10.2;11.5;5.2;0.9;92;0;0;9.1
08.10.2016;8;12.9;2.3;0;83;0;4.5;8.9
09.10.2016;6.5;9.3;1.5;1.7;97.3;0;0;6.7
10.10.2016;7.5;12;0.3;2.8;96;0;1;5.1
11.10.2016;9.6;11.1;8.5;0.8;92.8;0;0;9.8
12.10.2016;8.8;10.9;6.6;0;82.5;0;0.6;11.3
13.10.2016;8;10.6;5.6;0;80;0;0.2;12.5
14.10.2016;8.2;10.9;6.2;0.2;76.5;0;1.9;12.3
15.10.2016;8.6;9.9;7.1;0.4;89.2;0;0;11
16.10.2016;11.3;13.1;9.9;0;96.5;0;0;9.1
17.10.2016;10.6;11.8;9.4;2;95;0;0;10.8
18.10.2016;12.1;15.8;9.3;4.1;89.2;0;3;9.8
19.10.2016;7.7;9.6;3.9;0.2;94.5;0;0.1;7.4
20.10.2016;7.3;9;5.1;1.8;92.8;0;0;8.2
21.10.2016;8.1;9.9;6.8;1.5;94.9;0;0;6.2
22.10.2016;7.2;9.6;4.1;2.6;94.4;0;0.4;5.1
23.10.2016;7.8;11.3;4.8;0;89.1;0;3.8;7
24.10.2016;5.8;7.4;3;0;97.1;0;0;6.3
25.10.2016;6.4;10.9;-0.3;0;94.3;0;3.9;6.2
26.10.2016;5.4;9.4;0.7;0.3;91.8;0;1.6;7
27.10.2016;11.2;13.8;8.5;0.2;92.2;0;0;9.6
28.10.2016;11.5;13.9;7.9;1.4;90.2;0;0.2;12.3
29.10.2016;9.8;13.1;7.6;0;81.4;0;1.8;12.7
30.10.2016;9.7;12.9;5.8;0.6;88;0;4.8;7.7
31.10.2016;11.2;13.3;7.6;0.3;95.9;0;0;6.2
01.11.2016;9.4;11.7;5.5;3.4;92.5;0;0;11.3
02.11.2016;5.6;8.6;1.3;1.3;86;0;1.7;10.8
03.11.2016;4.1;7.9;-3;0.4;85.5;0;6;7.5
04.11.2016;7.5;9.9;4.3;0.1;84.7;0;1.1;12.2
05.11.2016;5;7;2.7;1.5;95;0;0;8.6
06.11.2016;5.6;6.9;3.8;1.1;92.5;0;0;8.7
07.11.2016;3;4.7;0.6;2.5;85.1;0;1;9.4
08.11.2016;-0.4;0.6;-1.8;0.6;90.9;2;0;9.8
09.11.2016;-1.4;1;-5.9;0;94.8;3;0.1;5.7
10.11.2016;1;1.6;0;0.8;94.8;2;0;6.3
11.11.2016;1.2;5.6;-2.4;0;91.2;0;6.6;5.7
12.11.2016;-2.3;-1.2;-3.6;0;97.4;0;2.3;8.1
